method,n,k,p,mean_P_optimal,std_P_optimal,mean_P_feasible,mean_P_near_optimal_5pct,mean_normalized_gap,num_instances
QWOA Johnson,5,2,1,0.4902341144854183,0.1595655469923462,1.0,0.5895844712757461,0.11408809447742566,4
QWOA weighted Johnson cost alpha=0.25,5,2,1,0.47038615985102417,0.1384159650224758,1.0,0.5701587616620989,0.11869332750124206,4
QWOA weighted Johnson cost alpha=0.5,5,2,1,0.3865780135795417,0.1523802703207316,1.0,0.4793436847232945,0.17646212949270362,4
QWOA weighted Johnson cost alpha=1.0,5,2,1,0.3525172916266621,0.042203931562549674,1.0,0.4295598335952349,0.20763519910476086,4
QWOA Johnson,5,3,1,0.33033588488866783,0.10123004589113829,1.0,0.4556699445831113,0.12417644604178465,4
QWOA weighted Johnson cost alpha=0.25,5,3,1,0.3285068781788613,0.10064112012281391,1.0,0.4549056321612579,0.12365233238411738,4
QWOA complete / Grover-equivalent,5,2,1,0.3145584987848089,0.019349118212351153,1.0,0.3881481734690877,0.1868346128470338,4
QWOA weighted Johnson cost alpha=0.5,5,3,1,0.30335348021005704,0.10643550644586033,1.0,0.4288215734793377,0.13436803473651587,4
QWOA complete / Grover-equivalent,5,3,1,0.2502297895882899,0.03530388895720471,1.0,0.35946779466062095,0.17366369098616619,4
QWOA weighted Johnson cost alpha=1.0,5,3,1,0.21769401328166196,0.11180000192589096,1.0,0.34131752844084995,0.16877003918233238,4
QWOA weighted Johnson cost alpha=2.0,5,3,1,0.20793968071358193,0.1051758114414727,1.0,0.35483274207169035,0.2661202993736601,4
QWOA weighted Johnson cost alpha=2.0,5,2,1,0.1819258636096911,0.03956942186268425,1.0,0.23642414690113508,0.390554416876816,4
Penalty QAOA transverse mixer,5,2,1,0.13657967863489787,0.06879792027309498,0.4333757228883711,0.17132691767876945,0.2506340267457322,4
Penalty QAOA transverse mixer,5,3,1,0.07885348159067113,0.009116769848615954,0.48653353493015034,0.12433381954379422,0.30851687797324573,4
QWOA weighted Johnson cost alpha=0.5,5,2,2,0.545984132210301,0.203134521998648,1.0,0.6549055892292531,0.08938536983973328,4
QWOA weighted Johnson cost alpha=0.25,5,2,2,0.523437684482261,0.22337421843284805,1.0,0.6295885255040728,0.09154011649756132,4
QWOA Johnson,5,2,2,0.4745163413497806,0.24242912444011108,1.0,0.5601124190502443,0.11379846085043382,4
QWOA weighted Johnson cost alpha=1.0,5,2,2,0.4388921711791382,0.05879123233641384,1.0,0.5209747132103174,0.16959702351242872,4
QWOA complete / Grover-equivalent,5,2,2,0.40971446771352016,0.15356573755371275,1.0,0.4879493460383896,0.14280708968217667,4
QWOA weighted Johnson cost alpha=0.5,5,3,2,0.340330778747891,0.11830041580290866,1.0,0.4719309607998795,0.11361061134152603,4
QWOA weighted Johnson cost alpha=0.25,5,3,2,0.3396056253879922,0.1201546607807869,1.0,0.4664521814396796,0.11483994612233821,4
QWOA Johnson,5,3,2,0.3175598627539604,0.10820467436811847,1.0,0.441008120795871,0.12807782320879973,4
QWOA weighted Johnson cost alpha=2.0,5,3,2,0.3131211065982299,0.22716809771091148,1.0,0.47783438439682097,0.19334944053073883,4
QWOA complete / Grover-equivalent,5,3,2,0.30740252896605536,0.11854623975263343,1.0,0.4230795473811306,0.1360460611697127,4
QWOA weighted Johnson cost alpha=1.0,5,3,2,0.27295160052604034,0.15627984095319383,1.0,0.396668872095067,0.13950638705825305,4
QWOA weighted Johnson cost alpha=2.0,5,2,2,0.24676402538948927,0.04997017832979947,1.0,0.31623298473980266,0.3084604495914189,4
Penalty QAOA transverse mixer,5,2,2,0.24416900344817327,0.14917731346382135,0.5903431893664143,0.29662781214154665,0.2021855295560958,4
Penalty QAOA transverse mixer,5,3,2,0.14340743148556595,0.06498368388770123,0.625684010232429,0.2107822320218463,0.24873272603482383,4
QWOA weighted Johnson cost alpha=0.25,5,2,3,0.5208087192865551,0.24712939779941737,1.0,0.6186108550247335,0.09330989471803894,4
QWOA weighted Johnson cost alpha=0.5,5,2,3,0.5035182447376115,0.20236599756615004,1.0,0.6090059707012958,0.1029304094252981,4
QWOA weighted Johnson cost alpha=1.0,5,2,3,0.4654136158102583,0.06250529785993013,1.0,0.5517172630666618,0.1331573808088144,4
QWOA complete / Grover-equivalent,5,2,3,0.4485372789870381,0.21918706205345068,1.0,0.5287821722408926,0.1218587876828315,4
QWOA Johnson,5,2,3,0.4485230874326892,0.20434038045569003,1.0,0.5384450328345219,0.13947970180996866,4
QWOA weighted Johnson cost alpha=1.0,5,3,3,0.3575661561585614,0.1513494092476291,1.0,0.5109244561660591,0.09840605633533114,4
QWOA weighted Johnson cost alpha=0.5,5,3,3,0.35369028300458166,0.14860495586732853,1.0,0.49829678260078825,0.10715490968350085,4
QWOA weighted Johnson cost alpha=0.25,5,3,3,0.3529853329029228,0.13240952775378886,1.0,0.4801797487118333,0.11178977322495892,4
QWOA complete / Grover-equivalent,5,3,3,0.3224101215961814,0.11450669273204969,1.0,0.4501921680967647,0.12484610931268071,4
QWOA weighted Johnson cost alpha=2.0,5,2,3,0.31275300601182077,0.06998126552008903,1.0,0.37350481630729876,0.2878738781820976,4
