instance,window_id,n,k,p,method,start,end,optimizer_seed,penalty,optimizer_fun,optimizer_success,optimizer_message,P_feasible,P_optimal,P_near_optimal_5pct,expected_cost,optimal_cost,normalized_gap,best_sample_x,best_sample_cost,expected_feasible_cost_conditional
0,W1,5,2,1,Penalty QAOA transverse mixer,2025-02-24,2026-05-21,12345778,0.01,-0.2900209305426079,True,Return from COBYLA because the trust region radius reaches its lower bound.,0.26454304942064705,0.11171534522764917,0.11171534522764917,-0.3072506859421449,-0.3482309453090251,0.13155164883803902,00101,-0.3482309453090251,-0.31097940585398165
0,W1,5,2,1,QWOA Johnson,2025-02-24,2026-05-21,12345778,,-0.3177019932758133,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,1.0,0.40752215856145124,0.40752215856145124,-0.3177019932758133,-0.3482309453090251,0.1078112216573825,00101,-0.3482309453090251,
0,W1,5,2,1,QWOA complete / Grover-equivalent,2025-02-24,2026-05-21,12345878,,-0.3094101131265615,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,1.0,0.3016002872669979,0.3016002872669979,-0.3094101131265615,-0.3482309453090251,0.13709351499502842,00101,-0.3482309453090251,
0,W1,5,2,1,QWOA weighted Johnson cost alpha=0.25,2025-02-24,2026-05-21,12345778,,-0.31638308010737665,True,Return from COBYLA because the trust region radius reaches its lower bound.,1.0,0.3791995913438825,0.3791995913438825,-0.31638308010737665,-0.3482309453090251,0.11246888693834178,00101,-0.3482309453090251,
0,W1,5,2,1,QWOA weighted Johnson cost alpha=0.5,2025-02-24,2026-05-21,12345678,,-0.3083810837157334,True,Return from COBYLA because the trust region radius reaches its lower bound.,1.0,0.24558774486574927,0.24558774486574927,-0.3083810837157334,-0.3482309453090251,0.14072747261604548,00110,-0.30384800856464067,
0,W1,5,2,1,QWOA weighted Johnson cost alpha=1.0,2025-02-24,2026-05-21,12346078,,-0.3037438222626339,True,Return from COBYLA because the trust region radius reaches its lower bound.,1.0,0.3854185613269399,0.3854185613269399,-0.3037438222626339,-0.3482309453090251,0.15710369220784356,00101,-0.3482309453090251,
0,W1,5,2,1,QWOA weighted Johnson cost alpha=2.0,2025-02-24,2026-05-21,12345878,,-0.21318854530394604,True,Return from COBYLA because the trust region radius reaches its lower bound.,1.0,0.13297573038537175,0.13297573038537175,-0.21318854530394604,-0.3482309453090251,0.4768943953350891,00110,-0.30384800856464067,
0,W1,5,2,2,Penalty QAOA transverse mixer,2025-02-24,2026-05-21,12345678,0.1,-0.2508946618649795,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,0.6007229736933681,0.2132611360244627,0.2132611360244627,-0.2949936046688195,-0.3482309453090251,0.2246735199770533,00101,-0.3482309453090251,-0.28461004380111016
0,W1,5,2,2,QWOA Johnson,2025-02-24,2026-05-21,12345778,,-0.3135337222827852,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,1.0,0.34925087204017846,0.34925087204017846,-0.3135337222827852,-0.3482309453090251,0.12253122866805584,00101,-0.3482309453090251,
0,W1,5,2,2,QWOA complete / Grover-equivalent,2025-02-24,2026-05-21,12345778,,-0.3127457035486733,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,1.0,0.3329731320727363,0.3329731320727363,-0.3127457035486733,-0.3482309453090251,0.1253140710768317,00101,-0.3482309453090251,
