instance,window_id,start,end,n,k,method,alpha,graph_edges,graph_mean_degree,graph_min_degree,graph_max_degree,graph_spectral_gap_top
0,W1,2025-02-24,2026-05-21,5,2,QWOA complete / Grover-equivalent,,45,9.0,9.0,9.0,1.111111111111111
0,W1,2025-02-24,2026-05-21,5,2,QWOA Johnson,,30,6.0,6.0,6.0,0.8333333333333328
0,W1,2025-02-24,2026-05-21,5,2,QWOA weighted Johnson cost alpha=0.25,0.25,30,6.0,6.0,6.0,0.6460623902746832
0,W1,2025-02-24,2026-05-21,5,2,QWOA weighted Johnson cost alpha=0.5,0.5,30,6.0,6.0,6.0,0.4966003860313851
0,W1,2025-02-24,2026-05-21,5,2,QWOA weighted Johnson cost alpha=1.0,1.0,30,6.0,6.0,6.0,0.32903958979518666
0,W1,2025-02-24,2026-05-21,5,2,QWOA weighted Johnson cost alpha=2.0,2.0,30,6.0,6.0,6.0,0.2675894501484972
1,W1,2025-02-24,2026-05-21,5,3,QWOA complete / Grover-equivalent,,45,9.0,9.0,9.0,1.111111111111111
1,W1,2025-02-24,2026-05-21,5,3,QWOA Johnson,,30,6.0,6.0,6.0,0.8333333333333331
1,W1,2025-02-24,2026-05-21,5,3,QWOA weighted Johnson cost alpha=0.25,0.25,30,6.0,6.0,6.0,0.6733831587199584
1,W1,2025-02-24,2026-05-21,5,3,QWOA weighted Johnson cost alpha=0.5,0.5,30,6.0,6.0,6.0,0.5312422230698071
1,W1,2025-02-24,2026-05-21,5,3,QWOA weighted Johnson cost alpha=1.0,1.0,30,6.0,6.0,6.0,0.31037183876036933
1,W1,2025-02-24,2026-05-21,5,3,QWOA weighted Johnson cost alpha=2.0,2.0,30,6.0,6.0,6.0,0.06779627569363322
2,W1,2025-02-24,2026-05-21,6,2,QWOA complete / Grover-equivalent,,105,14.0,14.0,14.0,1.0714285714285712
2,W1,2025-02-24,2026-05-21,6,2,QWOA Johnson,,60,8.0,8.0,8.0,0.7499999999999998
2,W1,2025-02-24,2026-05-21,6,2,QWOA weighted Johnson cost alpha=0.25,0.25,60,8.0,8.0,8.0,0.6300459380844061
2,W1,2025-02-24,2026-05-21,6,2,QWOA weighted Johnson cost alpha=0.5,0.5,60,8.0,8.0,8.0,0.5305465406271835
2,W1,2025-02-24,2026-05-21,6,2,QWOA weighted Johnson cost alpha=1.0,1.0,60,8.0,8.0,8.0,0.39097430957511137
2,W1,2025-02-24,2026-05-21,6,2,QWOA weighted Johnson cost alpha=2.0,2.0,60,8.0,8.0,8.0,0.28409120185162595
3,W1,2025-02-24,2026-05-21,6,3,QWOA complete / Grover-equivalent,,190,19.0,19.0,19.0,1.052631578947368
3,W1,2025-02-24,2026-05-21,6,3,QWOA Johnson,,90,9.0,9.0,9.0,0.6666666666666667
3,W1,2025-02-24,2026-05-21,6,3,QWOA weighted Johnson cost alpha=0.25,0.25,90,9.0,9.0,9.0,0.5644787602037347
3,W1,2025-02-24,2026-05-21,6,3,QWOA weighted Johnson cost alpha=0.5,0.5,90,9.0,9.0,9.0,0.47390445702317374
3,W1,2025-02-24,2026-05-21,6,3,QWOA weighted Johnson cost alpha=1.0,1.0,90,9.0,9.0,9.0,0.3265027929212969
3,W1,2025-02-24,2026-05-21,6,3,QWOA weighted Johnson cost alpha=2.0,2.0,90,9.0,9.0,9.0,0.15181767628031473
4,W1,2025-02-24,2026-05-21,6,4,QWOA complete / Grover-equivalent,,105,14.0,14.0,14.0,1.0714285714285712
4,W1,2025-02-24,2026-05-21,6,4,QWOA Johnson,,60,8.0,8.0,8.0,0.7499999999999998
4,W1,2025-02-24,2026-05-21,6,4,QWOA weighted Johnson cost alpha=0.25,0.25,60,8.0,8.0,8.0,0.6543596066919111
4,W1,2025-02-24,2026-05-21,6,4,QWOA weighted Johnson cost alpha=0.5,0.5,60,8.0,8.0,8.0,0.5652124038817845
4,W1,2025-02-24,2026-05-21,6,4,QWOA weighted Johnson cost alpha=1.0,1.0,60,8.0,8.0,8.0,0.40405159187048567
4,W1,2025-02-24,2026-05-21,6,4,QWOA weighted Johnson cost alpha=2.0,2.0,60,8.0,8.0,8.0,0.15952488847069224
5,W1,2025-02-24,2026-05-21,7,3,QWOA complete / Grover-equivalent,,595,34.0,34.0,34.0,1.029411764705882
5,W1,2025-02-24,2026-05-21,7,3,QWOA Johnson,,210,12.0,12.0,12.0,0.5833333333333335
5,W1,2025-02-24,2026-05-21,7,3,QWOA weighted Johnson cost alpha=0.25,0.25,210,12.0,12.0,12.0,0.4878949912505084
5,W1,2025-02-24,2026-05-21,7,3,QWOA weighted Johnson cost alpha=0.5,0.5,210,12.0,12.0,12.0,0.40567624981535877
5,W1,2025-02-24,2026-05-21,7,3,QWOA weighted Johnson cost alpha=1.0,1.0,210,12.0,12.0,12.0,0.27747718051089176
5,W1,2025-02-24,2026-05-21,7,3,QWOA weighted Johnson cost alpha=2.0,2.0,210,12.0,12.0,12.0,0.13060224700016565
6,W1,2025-02-24,2026-05-21,7,4,QWOA complete / Grover-equivalent,,595,34.0,34.0,34.0,1.029411764705882
6,W1,2025-02-24,2026-05-21,7,4,QWOA Johnson,,210,12.0,12.0,12.0,0.5833333333333335
6,W1,2025-02-24,2026-05-21,7,4,QWOA weighted Johnson cost alpha=0.25,0.25,210,12.0,12.0,12.0,0.4998876922368397
6,W1,2025-02-24,2026-05-21,7,4,QWOA weighted Johnson cost alpha=0.5,0.5,210,12.0,12.0,12.0,0.425579357137189
6,W1,2025-02-24,2026-05-21,7,4,QWOA weighted Johnson cost alpha=1.0,1.0,210,12.0,12.0,12.0,0.3005582610471761
6,W1,2025-02-24,2026-05-21,7,4,QWOA weighted Johnson cost alpha=2.0,2.0,210,12.0,12.0,12.0,0.1272822330287151
7,W1,2025-02-24,2026-05-21,8,3,QWOA complete / Grover-equivalent,,1540,55.0,55.0,55.0,1.018181818181817
