x,qiskit_bitstring,cost,selected_assets
"(1, 0, 1, 0, 1)",10101,-0.49079015770886447,"('AAPL', 'KO', 'NVDA')"
"(1, 1, 0, 0, 1)",10011,-0.44934933162746776,"('AAPL', 'JPM', 'NVDA')"
"(0, 1, 1, 0, 1)",10110,-0.3687795780616143,"('JPM', 'KO', 'NVDA')"
"(1, 1, 1, 0, 0)",00111,-0.33509164132923525,"('AAPL', 'JPM', 'KO')"
"(1, 0, 0, 1, 1)",11001,-0.31729323172893686,"('AAPL', 'MSFT', 'NVDA')"
"(0, 0, 1, 1, 1)",11100,-0.2372022278914748,"('KO', 'MSFT', 'NVDA')"
"(1, 0, 1, 1, 0)",01101,-0.21947485269591172,"('AAPL', 'KO', 'MSFT')"
"(1, 1, 0, 1, 0)",01011,-0.19339370023405617,"('AAPL', 'JPM', 'MSFT')"
"(0, 1, 0, 1, 1)",11010,-0.1889127819425004,"('JPM', 'MSFT', 'NVDA')"
"(0, 1, 1, 1, 0)",01110,-0.09786576306867392,"('JPM', 'KO', 'MSFT')"
