instance,window_id,n,k,p,method,start,end,optimizer_seed,penalty,optimizer_fun,optimizer_success,optimizer_message,P_feasible,P_optimal,P_near_optimal_5pct,expected_cost,optimal_cost,normalized_gap,best_sample_x,best_sample_cost,expected_feasible_cost_conditional
0,W1,5,2,1,QWOA weighted Johnson cost alpha=2.0,2025-02-24,2026-05-21,12345878,,-0.21318854530394604,True,Return from COBYLA because the trust region radius reaches its lower bound.,1.0,0.13297573038537175,0.13297573038537175,-0.21318854530394604,-0.3482309453090251,0.4768943953350891,00110,-0.30384800856464067,
0,W1,5,2,2,QWOA weighted Johnson cost alpha=2.0,2025-02-24,2026-05-21,12346078,,-0.24423434693647986,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,1.0,0.30615542395977124,0.30615542395977124,-0.24423434693647986,-0.3482309453090251,0.3672579493249213,00101,-0.3482309453090251,
0,W1,5,2,3,QWOA weighted Johnson cost alpha=2.0,2025-02-24,2026-05-21,12345778,,-0.26499022750449025,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,1.0,0.4090549422066572,0.4090549422066572,-0.26499022750449025,-0.3482309453090251,0.2939597621425522,00101,-0.3482309453090251,
1,W1,5,3,1,QWOA weighted Johnson cost alpha=2.0,2025-02-24,2026-05-21,12345878,,-0.33596979484518225,True,Return from COBYLA because the trust region radius reaches its lower bound.,1.0,0.30579355744413605,0.8933658028765697,-0.33596979484518225,-0.3645291646478553,0.08741683101042486,00111,-0.3645291646478553,
1,W1,5,3,2,QWOA weighted Johnson cost alpha=2.0,2025-02-24,2026-05-21,12345678,,-0.3428176460109038,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,1.0,0.27156842167541423,0.9304215328697785,-0.3428176460109038,-0.3645291646478553,0.06645637381986057,01101,-0.35565375215108436,
1,W1,5,3,3,QWOA weighted Johnson cost alpha=2.0,2025-02-24,2026-05-21,12345978,,-0.35097491033411,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,1.0,0.3157285813424256,0.9595101410332263,-0.35097491033411,-0.3645291646478553,0.0414879588381567,10101,-0.3605079153652597,
2,W1,6,2,1,QWOA weighted Johnson cost alpha=2.0,2025-02-24,2026-05-21,12345978,,-0.1635479965317432,True,Return from COBYLA because the trust region radius reaches its lower bound.,1.0,0.05929371223193763,0.05929371223193763,-0.1635479965317432,-0.3482309453090251,0.3997615145986621,101000,-0.30516909742419,
2,W1,6,2,2,QWOA weighted Johnson cost alpha=2.0,2025-02-24,2026-05-21,12345678,,-0.23428195201306984,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,1.0,0.27130636299405964,0.27130636299405964,-0.23428195201306984,-0.3482309453090251,0.24665201876280274,001010,-0.3482309453090251,
2,W1,6,2,3,QWOA weighted Johnson cost alpha=2.0,2025-02-24,2026-05-21,12345978,,-0.22888237890462937,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,1.0,0.26381260288490277,0.26381260288490277,-0.22888237890462937,-0.3482309453090251,0.2583398412624286,001010,-0.3482309453090251,
3,W1,6,3,1,QWOA weighted Johnson cost alpha=2.0,2025-02-24,2026-05-21,12345878,,-0.2712262963809012,True,Return from COBYLA because the trust region radius reaches its lower bound.,1.0,0.17259920269283957,0.5025212024021738,-0.2712262963809012,-0.3645291646478553,0.17926699721465716,101010,-0.3605079153652597,
3,W1,6,3,2,QWOA weighted Johnson cost alpha=2.0,2025-02-24,2026-05-21,12345978,,-0.30780620282302984,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,1.0,0.2643795023774127,0.7902956261033628,-0.30780620282302984,-0.3645291646478553,0.10898437774028832,101010,-0.3605079153652597,
3,W1,6,3,3,QWOA weighted Johnson cost alpha=2.0,2025-02-24,2026-05-21,12346078,,-0.3111816497359075,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,1.0,0.26626664763733404,0.7725101048120753,-0.3111816497359075,-0.3645291646478553,0.10249897977162395,101010,-0.3605079153652597,
4,W1,6,4,1,QWOA weighted Johnson cost alpha=2.0,2025-02-24,2026-05-21,12345978,,-0.2746220471626831,True,Return from COBYLA because the trust region radius reaches its lower bound.,1.0,0.27219733940448854,0.820261720681267,-0.2746220471626831,-0.33826425243008607,0.1111713131723531,011110,-0.33030503333399197,
4,W1,6,4,2,QWOA weighted Johnson cost alpha=2.0,2025-02-24,2026-05-21,12346078,,-0.29687340600845946,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,1.0,0.31451577398202485,0.8974620959250628,-0.29687340600845946,-0.33826425243008607,0.07230225179460056,011110,-0.33030503333399197,
4,W1,6,4,3,QWOA weighted Johnson cost alpha=2.0,2025-02-24,2026-05-21,12346078,,-0.2942844342483928,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,1.0,0.37523088111921393,0.8921505491570821,-0.2942844342483928,-0.33826425243008607,0.07682471277978219,101110,-0.33826425243008607,
5,W1,7,3,1,QWOA weighted Johnson cost alpha=2.0,2025-02-24,2026-05-21,12345978,,-0.21797903367786017,True,Return from COBYLA because the trust region radius reaches its lower bound.,1.0,0.08199924365396655,0.25761255617155965,-0.21797903367786017,-0.3645291646478553,0.2515377701793534,0110100,-0.35565375215108436,
5,W1,7,3,2,QWOA weighted Johnson cost alpha=2.0,2025-02-24,2026-05-21,12345978,,-0.2655551729111157,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,1.0,0.13012338245743918,0.4324201926279704,-0.2655551729111157,-0.3645291646478553,0.1698783687358588,0110100,-0.35565375215108436,
5,W1,7,3,3,QWOA weighted Johnson cost alpha=2.0,2025-02-24,2026-05-21,12346078,,-0.30828091193956003,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,1.0,0.24581533287464638,0.6988022071432588,-0.30828091193956003,-0.3645291646478553,0.09654416525650299,1010100,-0.3605079153652597,
6,W1,7,4,1,QWOA weighted Johnson cost alpha=2.0,2025-02-24,2026-05-21,12345978,,-0.21892397441221262,True,Return from COBYLA because the trust region radius reaches its lower bound.,1.0,0.12783468554551145,0.5139223682289196,-0.21892397441221262,-0.33826425243008607,0.18960878742355194,1010101,-0.304939829209674,
