label,penalty,graph_edges,graph_mean_degree,P_feasible,P_optimal,best_feasible_bitstring,best_feasible_cost,gap_best_minus_optimal,expected_original_cost,expected_feasible_cost_conditional,optimizer_fun,optimizer_success
"QWOA Johnson graph: one asset swap, Hamming distance 2",,30.0,6.0,1.0,0.520751953125,10101,-0.49079015770886447,0.0,-0.45131556368491516,-0.45131556368491516,-0.4513155636849153,True
QWOA complete feasible graph / Grover-equivalent,,45.0,9.0,1.0,0.326416015625,10101,-0.49079015770886447,0.0,-0.4089740802335269,-0.4089740802335269,-0.408974080233527,True
QWOA threshold graph: Hamming distance <= 4,,45.0,9.0,1.0,0.32275390625,10101,-0.49079015770886447,0.0,-0.4089870992778737,-0.4089870992778737,-0.4089870992778738,True
Dicke + Grover feasible ansatz,,,,1.0,0.306884765625,10101,-0.49079015770886447,0.0,-0.40207626641583255,-0.40207626641583255,-0.4020762664158327,True
QWOA user graph: feasible strings with Hamming distance 1,,0.0,0.0,1.0,0.094482421875,10101,-0.49079015770886447,0.0,-0.2890116955556599,-0.2890116955556599,-0.2890116955556601,True
QAOA penalty=0.1,0.1,,,0.57958984375,0.093017578125,10101,-0.49079015770886447,0.0,-0.34169752365620826,-0.32370363070742464,-0.2890608049062082,True
QAOA penalty=1.0,1.0,,,0.453369140625,0.075927734375,10101,-0.49079015770886447,0.0,-0.30531379718121765,-0.33713053697790146,0.43540885906878457,True
QAOA penalty=100.0,100.0,,,0.343017578125,0.03564453125,10101,-0.49079015770886447,0.0,-0.24458581548178498,-0.29410059296465246,124.1206485595184,True
QAOA penalty=1000.0,1000.0,,,0.348876953125,0.035400390625,10101,-0.49079015770886447,0.0,-0.24490574149108327,-0.29582667721009454,1182.3722817585092,True
QAOA penalty=10.0,10.0,,,0.297607421875,0.019775390625,10101,-0.49079015770886447,0.0,-0.2215655940764032,-0.272627427718273,16.04796565592358,True
